# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄨㄩㄨㄑㄧㄡ	無欲無求
ㄩˇㄅㄧㄥˋ	語病
ㄩˇㄆㄧㄢˉ	語篇
ㄩˇㄉㄧㄠˋ	語調
ㄩˇㄉㄧㄢˇ	雨點
ㄩˇㄉㄨㄢˋ	羽緞
ㄩˇㄊㄧㄢˉ	雨天
ㄩˇㄊㄧㄢˊ	羽田
ㄩˇㄋㄧㄝˋ	羽涅
ㄩˇㄌㄧㄝˋ	羽裂
ㄩˇㄌㄧㄠˋ	語料
ㄩˇㄌㄧㄡˊ	羽流 語流
ㄩˇㄌㄧㄣˊ	雨林 羽林
ㄩˇㄌㄧㄤˋ	雨量
ㄩˇㄍㄨㄚˉ	雨刮
ㄩˇㄍㄨㄛˇ	雨果
ㄩˇㄍㄨㄢˉ	羽冠
ㄩˇㄍㄨㄥˋ	與共
ㄩˇㄏㄨㄚˉ	雨花
ㄩˇㄏㄨㄚˋ	羽化 語畫
ㄩˇㄏㄨㄟˋ	語彙 禹會
ㄩˇㄐㄧㄥˉ	羽莖
ㄩˇㄐㄧㄥˋ	語境
ㄩˇㄑㄧㄡˊ	羽球
ㄩˇㄒㄧㄝˊ	雨鞋
ㄩˇㄒㄧㄢˋ	圉限
ㄩˇㄒㄧㄣˋ	庾信
ㄩˇㄒㄩㄝˉ	雨靴
ㄩˇㄓㄨㄥˇ	語種
ㄩˇㄕㄨㄚˉ	雨刷
ㄩˇㄕㄨㄟˇ	雨水
ㄩˇㄖㄨㄥˊ	羽絨
ㄩˇㄙㄨㄥˉ	雨凇
ㄩˉㄉㄧㄢˇ	瘀點
ㄩˉㄌㄨㄣˋ	迂論
ㄩˉㄍㄨㄢˋ	淤灌
ㄩˉㄎㄨㄛˋ	迂闊
ㄩˉㄏㄨㄟˊ	迂迴
ㄩˉㄏㄨㄢˇ	迂緩
ㄩˉㄐㄧㄢˋ	迂見
ㄩˉㄑㄧㄢˇ	淤淺
ㄩˉㄑㄧㄥˉ	淤青 瘀青
ㄩˉㄒㄩㄝˋ	淤血 瘀血
ㄩˉㄓㄨㄛˉ	迂拙
ㄩˊㄅㄧㄠˋ	魚鰾
ㄩˊㄅㄧㄥˇ	魚餅
ㄩˊㄆㄧㄠˉ	魚漂
ㄩˊㄆㄧㄢˋ	魚片
ㄩˊㄇㄧㄠˊ	魚苗
ㄩˊㄇㄧㄣˊ	漁民 愚民
ㄩˊㄉㄧㄠˉ	漁雕
ㄩˊㄉㄨㄣˋ	愚鈍
ㄩˊㄊㄧㄢˊ	于田
ㄩˊㄋㄧㄝˋ	餘孽
ㄩˊㄋㄧㄢˊ	餘年
ㄩˊㄋㄨㄛˋ	愚懦
ㄩˊㄋㄨㄥˋ	愚弄
ㄩˊㄌㄧㄝˋ	漁獵
ㄩˊㄌㄧㄡˊ	餘留
ㄩˊㄌㄧㄣˊ	魚鱗 榆林
ㄩˊㄌㄧㄤˊ	餘糧
ㄩˊㄌㄧㄤˋ	餘量
ㄩˊㄌㄨㄢˇ	魚卵
ㄩˊㄌㄨㄣˊ	漁輪
ㄩˊㄌㄨㄣˋ	輿論
ㄩˊㄌㄨㄥˊ	漁籠 魚龍
ㄩˊㄍㄨㄟˉ	于歸
ㄩˊㄍㄨㄢˋ	魚貫
ㄩˊㄍㄨㄤˉ	餘光
ㄩˊㄎㄨㄞˋ	愉快
ㄩˊㄏㄨㄚˉ	魚花
ㄩˊㄏㄨㄛˋ	漁獲
ㄩˊㄏㄨㄟˉ	餘暉 餘輝
ㄩˊㄏㄨㄤˊ	艅艎 餘皇
ㄩˊㄏㄨㄥˊ	于洪
ㄩˊㄐㄧㄚˉ	瑜伽 瑜珈 瑜迦
ㄩˊㄐㄧㄠˇ	餘角
ㄩˊㄐㄧㄢˋ	愚見
ㄩˊㄐㄧㄣˉ	魚津
ㄩˊㄐㄧㄣˋ	餘燼
ㄩˊㄐㄧㄤˉ	魚漿 餘江
ㄩˊㄑㄧㄝˉ	餘切
ㄩˊㄑㄧㄠˊ	漁樵
ㄩˊㄑㄧㄡ˙	魚鰍
ㄩˊㄑㄧㄢˇ	娛遣
ㄩˊㄑㄧㄢˊ	餘錢
ㄩˊㄑㄧㄥˊ	輿情
ㄩˊㄑㄧㄥˋ	餘慶
ㄩˊㄑㄩㄝˉ	餘缺
ㄩˊㄑㄩㄣˊ	魚群
ㄩˊㄒㄧㄚˋ	餘下
ㄩˊㄒㄧㄠˋ	愚孝
ㄩˊㄒㄧㄢˊ	餘弦
ㄩˊㄒㄧㄢˋ	漁線 盂縣 魚線
ㄩˊㄒㄧㄤˉ	魚香
ㄩˊㄒㄧㄤˋ	餘項
ㄩˊㄒㄩㄣˋ	漁汛 魚汛
ㄩˊㄓㄨㄛˉ	愚拙
ㄩˊㄓㄨㄥˇ	魚種
ㄩˊㄓㄨㄥˉ	榆中 渝中
ㄩˊㄔㄨㄢˊ	漁船 魚船
ㄩˊㄔㄨㄣˇ	愚蠢
ㄩˊㄔㄨㄥˊ	魚蟲
ㄩˊㄕㄨㄟˇ	渝水 魚水
ㄩˊㄕㄨㄣˋ	虞舜
ㄩˊㄖㄨㄛˋ	愚弱
ㄩˊㄘㄨㄣˊ	餘存
ㄩˊㄙㄨㄥˉ	魚鬆
ㄩˋㄆㄧㄢˉ	玉篇
ㄩˋㄆㄧㄥˊ	玉屏
ㄩˋㄇㄧㄠˊ	育苗
ㄩˋㄇㄧㄣˊ	玉珉 裕民
ㄩˋㄇㄧㄥˊ	域名
ㄩˋㄉㄧㄥˋ	預定 預訂
ㄩˋㄊㄧㄢˊ	玉田
ㄩˋㄊㄧㄥˊ	毓婷
ㄩˋㄊㄨㄛˊ	鷸鴕
ㄩˋㄋㄧㄢˋ	欲念
ㄩˋㄌㄧㄠˋ	預料
ㄩˋㄌㄧㄡˊ	預留
ㄩˋㄌㄧㄢˊ	浴簾
ㄩˋㄌㄧㄣˊ	玉林
ㄩˋㄌㄧㄥˊ	育齡
ㄩˋㄌㄨㄛˊ	玉螺
ㄩˋㄌㄨㄥˊ	玉龍
ㄩˋㄍㄨㄟˋ	浴櫃 玉桂
ㄩˋㄎㄨㄥˉ	育空
ㄩˋㄏㄨㄚˉ	浴花
ㄩˋㄏㄨㄚˊ	裕華
ㄩˋㄏㄨㄛˇ	慾火 遇火
ㄩˋㄏㄨㄟˋ	與會 預會
ㄩˋㄏㄨㄢˊ	玉環
ㄩˋㄏㄨㄤˊ	玉皇
ㄩˋㄐㄧㄚˉ	愈加
ㄩˋㄐㄧㄝˇ	御姐
ㄩˋㄐㄧㄝˊ	鬱結
ㄩˋㄐㄧㄡˇ	御酒
ㄩˋㄐㄧㄢˋ	遇見 預見
ㄩˋㄐㄧㄣˉ	浴巾
ㄩˋㄐㄧㄤˉ	鬱江
ㄩˋㄐㄧㄥˇ	預警 獄警
ㄩˋㄐㄧㄥˉ	欲經 玉莖
ㄩˋㄐㄩㄝˊ	欲絕 玉玦
ㄩˋㄑㄧㄡˊ	欲求 浴球
ㄩˋㄑㄧㄥˇ	籲請
ㄩˋㄑㄩㄢˊ	玉泉
ㄩˋㄒㄧㄢˇ	遇險
ㄩˋㄒㄧㄢˉ	預先
ㄩˋㄒㄧㄢˋ	蔚縣 閾限
ㄩˋㄒㄧㄤˇ	預想
ㄩˋㄒㄩㄝˋ	浴血
ㄩˋㄒㄩㄢˇ	預選
ㄩˋㄓㄨㄤˉ	預裝
ㄩˋㄓㄨㄥˇ	育種
ㄩˋㄔㄨㄢˉ	玉川
ㄩˋㄕㄨㄟˇ	淯水 育水
ㄩˋㄖㄨㄥˊ	御戎
ㄩˋㄘㄨㄥˊ	玉琮
ㄩˋㄙㄨㄛˇ	寓所
ㄩˋㄙㄨㄟˇ	玉髓
ㄩˋㄙㄨㄢˋ	預算
ㄩㄅㄧㄢㄉㄤ	御便當
ㄩㄇㄠㄉㄨㄢ	羽毛緞
ㄩㄇㄠㄑㄧㄡ	羽毛球
ㄩㄇㄣㄍㄨㄢ	玉門關
ㄩㄇㄧㄅㄧㄥ	玉米餅
ㄩㄇㄧㄆㄧㄢ	玉米片
ㄩㄇㄧㄇㄧㄢ	玉米麵
ㄩㄇㄧㄏㄨㄚ	玉米花
ㄩㄇㄧㄙㄨㄣ	玉米筍
ㄩㄈㄢㄊㄨㄢ	御飯糰
ㄩㄈㄤㄒㄧㄥ	預防性
ㄩㄈㄨㄗㄨㄛ	玉夫座 禦夫座
ㄩㄉㄨㄒㄧㄢ	于都縣
ㄩㄊㄞㄒㄧㄢ	魚台縣
ㄩㄊㄧㄢㄅㄞ	俞天白
ㄩㄋㄢㄒㄧㄢ	鬱南縣
ㄩㄋㄢㄔㄨㄢ	遇難船
ㄩㄌㄜㄐㄧㄝ	娛樂界
ㄩㄌㄜㄑㄩㄢ	娛樂圈
ㄩㄌㄟㄊㄧㄥ	魚雷艇
ㄩㄌㄟㄒㄩㄝ	魚類學
ㄩㄌㄢㄏㄨㄚ	玉蘭花
ㄩㄌㄧㄒㄧㄢ	尉犁縣
ㄩㄌㄧㄠㄎㄨ	語料庫
ㄩㄌㄧㄡㄕㄨ	餘留事務
ㄩㄌㄧㄥㄑㄧ	育齡期
ㄩㄍㄠㄆㄧㄢ	預告片
ㄩㄍㄢㄒㄧㄢ	餘干縣
ㄩㄍㄨㄚㄑㄧ	雨刮器
ㄩㄏㄨㄚㄊㄞ	雨花臺
ㄩㄏㄨㄚㄑㄩ	裕華區 雨花區
ㄩㄏㄨㄟㄑㄩ	禹會區
ㄩㄏㄨㄥㄑㄩ	于洪區
ㄩㄏㄨㄥㄕㄥ	玉紅省
ㄩㄐㄧㄚㄎㄨ	瑜伽褲
ㄩㄐㄧㄤㄑㄩ	餘江區
ㄩㄐㄧㄥㄐㄧ	預警機
ㄩㄑㄧㄓㄨㄘ	語氣助詞
ㄩㄑㄩㄍㄨㄩ	欲取姑予 欲取姑與
ㄩㄑㄩㄢㄑㄩ	玉泉區
ㄩㄑㄩㄢㄧㄥ	玉泉營
ㄩㄒㄧㄢㄩㄙ	欲仙欲死
ㄩㄒㄧㄥㄘㄠ	魚腥草
ㄩㄒㄩㄝㄅㄢ	淤血斑
ㄩㄒㄩㄣㄑㄧ	漁汛期 魚汛期
ㄩㄓㄡㄍㄨㄢ	宇宙觀
ㄩㄓㄡㄒㄧㄢ	宇宙線
ㄩㄓㄡㄒㄩㄝ	宇宙學
ㄩㄓㄨㄥㄑㄩ	渝中區
ㄩㄔㄥㄒㄧㄢ	虞城縣
ㄩㄕㄈㄨㄧㄤ	與世俯仰
ㄩㄕㄐㄩㄈㄣ	玉石俱焚
ㄩㄕㄕㄥㄈㄥ	遇事生風
ㄩㄕㄜㄒㄧㄢ	榆社縣
ㄩㄕㄢㄒㄧㄢ	玉山縣
ㄩㄕㄤㄗㄨㄓ	癒傷組織
ㄩㄕㄨㄟㄑㄩ	渝水區
ㄩㄖㄐㄩㄗㄥ	與日俱增
ㄩㄖㄣㄎㄡㄕ	予人口實
ㄩㄖㄣㄐㄧㄝ	愚人節
ㄩㄖㄣㄓㄌㄧ	漁人之利
ㄩㄖㄨㄥㄈㄨ	羽絨服
ㄩㄘㄊㄨㄥㄕ	與此同時
ㄩㄙㄨㄤㄆㄛ	魚死網破
ㄩㄝˉㄅㄛˊ	約伯
ㄩㄝˉㄆㄠˋ	約炮
ㄩㄝˉㄇㄚ˙	約嗎
ㄩㄝˉㄇㄛ˙	約莫 約摸
ㄩㄝˉㄈㄚˇ	約法
ㄩㄝˉㄈㄣˉ	約分
ㄩㄝˉㄉㄢˋ	約旦 約但
ㄩㄝˉㄊㄢˇ	約坦
ㄩㄝˉㄊㄢˊ	約談
ㄩㄝˉㄋㄚˋ	約納
ㄩㄝˉㄍㄠˇ	約稿
ㄩㄝˉㄍㄣˉ	約根
ㄩㄝˉㄎㄜˋ	約克
ㄩㄝˉㄏㄜˊ	約合
ㄩㄝˉㄏㄢˋ	約翰
ㄩㄝˉㄐㄧˊ	約集
ㄩㄝˉㄐㄧˋ	約計
ㄩㄝˉㄑㄧˋ	約契
ㄩㄝˉㄓㄚˊ	曱甴
ㄩㄝˉㄓㄤˉ	約章
ㄩㄝˉㄔㄨˉ	約出
ㄩㄝˉㄕㄨˋ	約束 約數
ㄩㄝˉㄙㄜˋ	約瑟
ㄩㄝˉㄧㄢˊ	約言
ㄩㄝˋㄅㄟˋ	月孛
ㄩㄝˋㄅㄠˋ	月報
ㄩㄝˋㄅㄢˋ	月半
ㄩㄝˋㄆㄨˇ	樂譜
ㄩㄝˋㄇㄚˇ	躍馬
ㄩㄝˋㄇㄛˋ	月末
ㄩㄝˋㄇㄧˊ	樂迷
ㄩㄝˋㄇㄨˇ	岳母
ㄩㄝˋㄈㄚˉ	越發
ㄩㄝˋㄈㄟˉ	岳飛 越飛
ㄩㄝˋㄈㄟˋ	月費
ㄩㄝˋㄈㄣˋ	月份 月分
ㄩㄝˋㄈㄥˋ	月俸
ㄩㄝˋㄈㄨˇ	樂府
ㄩㄝˋㄈㄨˋ	岳父
ㄩㄝˋㄉㄧˇ	月底
ㄩㄝˋㄉㄨˊ	閱讀
ㄩㄝˋㄉㄨˋ	月度
ㄩㄝˋㄊㄞˊ	月臺
ㄩㄝˋㄊㄢˊ	樂壇
ㄩㄝˋㄊㄤˊ	嶽塘
ㄩㄝˋㄋㄚˋ	悅納
ㄩㄝˋㄋㄢˊ	越南
ㄩㄝˋㄌㄠˇ	月老
ㄩㄝˋㄌㄢˇ	閱覽
ㄩㄝˋㄌㄢˊ	月藍 月闌
ㄩㄝˋㄌㄧˇ	樂理 越禮 月鱧
ㄩㄝˋㄌㄧˋ	月曆 閱歷 月利
ㄩㄝˋㄌㄨˋ	嶽麓
ㄩㄝˋㄌㄩˋ	樂律
ㄩㄝˋㄍㄢˇ	樂感
ㄩㄝˋㄎㄢˉ	月刊
ㄩㄝˋㄎㄥˉ	月坑
ㄩㄝˋㄏㄞˇ	月海 粵海
ㄩㄝˋㄏㄟˉ	月黑
ㄩㄝˋㄏㄨˊ	月湖
ㄩㄝˋㄐㄧˊ	越級
ㄩㄝˋㄐㄧˋ	月季
ㄩㄝˋㄐㄩˉ	躍居
ㄩㄝˋㄐㄩˊ	越橘
ㄩㄝˋㄐㄩˋ	樂句 越劇 粵劇
ㄩㄝˋㄑㄧˋ	樂器
ㄩㄝˋㄑㄩˇ	樂曲
ㄩㄝˋㄒㄧˉ	月息 岳西 月夕 越西
ㄩㄝˋㄒㄧˊ	越席
ㄩㄝˋㄓㄢˋ	越戰
ㄩㄝˋㄓㄤˉ	樂章
ㄩㄝˋㄓㄤˋ	岳丈 越障
ㄩㄝˋㄔㄥˊ	月城 越城
ㄩㄝˋㄔㄨˉ	月初
ㄩㄝˋㄕㄡˇ	樂手
ㄩㄝˋㄕㄥˉ	躍升
ㄩㄝˋㄖㄢˊ	躍然
ㄩㄝˋㄖㄤˇ	月壤
ㄩㄝˋㄗㄨˉ	月租
ㄩㄝˋㄘㄞˋ	粵菜
ㄩㄝˋㄘㄥˊ	躍層
ㄩㄝˋㄙㄜˋ	月色 悅色
ㄩㄝˋㄙㄠˇ	月嫂
ㄩㄝˋㄧㄚˊ	月牙 月芽
ㄩㄝˋㄧㄝˇ	越野
ㄩㄝˋㄧㄝˋ	月夜
ㄩㄝˋㄧㄢˊ	月岩
ㄩㄝˋㄧㄣˉ	樂音
ㄩㄝˋㄧㄤˊ	岳陽
ㄩㄝˋㄨㄟˇ	月尾
ㄩㄝˋㄨㄟˋ	越位
ㄩㄝˋㄨㄣˊ	越文
ㄩㄝˋㄩㄝˋ	月月
ㄩㄝˋㄩㄣˋ	月暈
ㄩㄝㄅㄛㄐㄧ	約伯記
ㄩㄝㄅㄧㄥㄕ	閱兵式
ㄩㄝㄆㄧㄢㄕ	月偏食
ㄩㄝㄆㄨㄏㄨ	岳普湖
ㄩㄝㄇㄤㄓㄥ	月盲症
ㄩㄝㄈㄣㄆㄞ	月份牌
ㄩㄝㄉㄢㄏㄜ	約旦河 約但河
ㄩㄝㄉㄨㄑㄧ	閱讀器
ㄩㄝㄊㄤㄑㄩ	嶽塘區
ㄩㄝㄋㄚㄕㄨ	約拿書
ㄩㄝㄋㄢㄨㄣ	越南文
ㄩㄝㄋㄩㄕㄣ	月女神
ㄩㄝㄌㄞㄩㄝ	越來越
ㄩㄝㄌㄨㄑㄩ	嶽麓區
ㄩㄝㄌㄨㄕㄢ	岳麓山
ㄩㄝㄍㄨㄤㄕ	月光石
ㄩㄝㄏㄨㄑㄩ	月湖區
ㄩㄝㄑㄧㄥㄕ	樂清市
ㄩㄝㄑㄩㄢㄕ	月全食
ㄩㄝㄒㄧㄧㄚ	約西亞
ㄩㄝㄔㄒㄧㄢ	岳池縣
ㄩㄝㄔㄥㄑㄩ	越城區
ㄩㄝㄕㄚㄈㄚ	約沙法
ㄩㄝㄕㄡㄖㄨ	月收入
ㄩㄝㄕㄨㄌㄧ	約束力
ㄩㄝㄕㄨㄧㄚ	約書亞
ㄩㄝㄗㄅㄧㄥ	月子病
ㄩㄝㄙㄜㄈㄨ	約瑟夫
ㄩㄝㄧㄝㄆㄠ	越野跑
ㄩㄝㄧㄝㄔㄜ	越野車
ㄩㄝㄧㄤㄌㄡ	岳陽樓
ㄩㄝㄩㄝㄩㄕ	躍躍欲試
ㄩㄢˇㄅㄧˋ	遠避
ㄩㄢˇㄇㄡˊ	遠謀
ㄩㄢˇㄇㄣˊ	遠門
ㄩㄢˇㄈㄤˉ	遠方
ㄩㄢˇㄈㄤˊ	遠房
ㄩㄢˇㄈㄨˋ	遠赴
ㄩㄢˇㄉㄚˋ	遠大
ㄩㄢˇㄊㄥˊ	遠藤
ㄩㄢˇㄊㄨˊ	遠途
ㄩㄢˇㄌㄠˊ	遠勞
ㄩㄢˇㄌㄧˊ	遠離
ㄩㄢˇㄌㄩˋ	遠慮
ㄩㄢˇㄍㄨˇ	遠古
ㄩㄢˇㄎㄜˋ	遠客
ㄩㄢˇㄏㄤˊ	遠航
ㄩㄢˇㄑㄧˉ	遠期
ㄩㄢˇㄓㄡˋ	遠胄
ㄩㄢˇㄓㄥˉ	遠征
ㄩㄢˇㄔㄠˉ	遠超
ㄩㄢˇㄔㄥˊ	遠程
ㄩㄢˇㄔㄨˋ	遠處
ㄩㄢˇㄕㄜˋ	遠涉
ㄩㄢˇㄖㄣˊ	遠人
ㄩㄢˇㄗㄨˇ	遠祖
ㄩㄢˇㄗㄨˊ	遠足
ㄩㄢˇㄧㄡˊ	遠遊
ㄩㄢˇㄧㄣˉ	遠因
ㄩㄢˇㄧㄤˊ	遠洋 遠揚
ㄩㄢˇㄨㄤˋ	遠望
ㄩㄢˇㄩㄢˇ	遠遠
ㄩㄢˇㄩㄢˊ	遠緣
ㄩㄢˉㄅㄛˊ	淵博
ㄩㄢˉㄇㄛˋ	淵默
ㄩㄢˉㄇㄡˊ	淵謀
ㄩㄢˉㄈㄨˋ	淵富
ㄩㄢˉㄉㄡˉ	箢篼
ㄩㄢˉㄊㄡˊ	冤頭
ㄩㄢˉㄌㄩˋ	淵慮
ㄩㄢˉㄍㄨˇ	淵谷
ㄩㄢˉㄎㄨˇ	冤苦
ㄩㄢˉㄏㄜˋ	淵壑
ㄩㄢˉㄏㄞˇ	淵海
ㄩㄢˉㄐㄧˉ	箢箕
ㄩㄢˉㄑㄧˇ	鴛綺
ㄩㄢˉㄑㄧˋ	冤氣
ㄩㄢˉㄑㄩˉ	冤屈
ㄩㄢˉㄔㄡˊ	冤仇
ㄩㄢˉㄕㄣˉ	淵深
ㄩㄢˉㄙㄡˇ	淵藪
ㄩㄢˉㄧㄝˋ	冤業
ㄩㄢˉㄧㄤˉ	鴛鴦
ㄩㄢˉㄨㄟˇ	鳶尾
ㄩㄢˉㄨㄤ˙	冤枉
ㄩㄢˉㄩㄢˇ	淵遠
ㄩㄢˉㄩㄢˉ	淵淵
ㄩㄢˉㄩㄢˊ	淵源
ㄩㄢˊㄅㄞˇ	圓柏
ㄩㄢˊㄅㄠˇ	元寶
ㄩㄢˊㄅㄣˇ	原本
ㄩㄢˊㄅㄧˋ	猿臂
ㄩㄢˊㄆㄟˋ	元配 原配
ㄩㄢˊㄆㄢˊ	圓盤
ㄩㄢˊㄆㄨˇ	園圃
ㄩㄢˊㄇㄚˇ	源碼
ㄩㄢˊㄇㄛˋ	元末
ㄩㄢˊㄇㄟˊ	袁枚 原煤 元煤
ㄩㄢˊㄇㄠˋ	原貌
ㄩㄢˊㄇㄡˊ	元謀
ㄩㄢˊㄇㄢˇ	圓滿
ㄩㄢˊㄇㄥˋ	圓夢
ㄩㄢˊㄇㄨˋ	原木
ㄩㄢˊㄈㄣˋ	緣分
ㄩㄢˊㄈㄤˊ	圓房
ㄩㄢˊㄉㄞˋ	元代
ㄩㄢˊㄉㄠˋ	原道
ㄩㄢˊㄉㄢˋ	元旦
ㄩㄢˊㄉㄧˋ	園地 原地 塬地
ㄩㄢˊㄊㄡˊ	源頭 袁頭
ㄩㄢˊㄊㄨˉ	圓禿
ㄩㄢˊㄊㄨˊ	原圖
ㄩㄢˊㄋㄧˇ	原擬
ㄩㄢˊㄌㄞˊ	原來 元來
ㄩㄢˊㄌㄠˇ	元老
ㄩㄢˊㄌㄤˇ	元朗
ㄩㄢˊㄌㄧˇ	原理
ㄩㄢˊㄍㄜˉ	原鴿
ㄩㄢˊㄍㄠˇ	原稿
ㄩㄢˊㄍㄠˋ	原告
ㄩㄢˊㄍㄨˋ	緣故 原故
ㄩㄢˊㄏㄜˊ	原核 緣何
ㄩㄢˊㄏㄡˊ	猿猴
ㄩㄢˊㄏㄨˊ	圓弧
ㄩㄢˊㄐㄧˊ	原籍
ㄩㄢˊㄐㄧˋ	圓寂
ㄩㄢˊㄑㄧˇ	緣起 源起
ㄩㄢˊㄑㄧˋ	元氣
ㄩㄢˊㄑㄩˇ	元曲 垣曲
ㄩㄢˊㄑㄩˉ	園區
ㄩㄢˊㄓㄡˉ	圓周 原州 袁州
ㄩㄢˊㄓㄤˇ	園長
ㄩㄢˊㄓㄨˉ	圓珠
ㄩㄢˊㄓㄨˋ	援助 原著 圓柱
ㄩㄢˊㄔㄠˊ	元朝
ㄩㄢˊㄔㄢˇ	原產
ㄩㄢˊㄔㄤˇ	圓場
ㄩㄢˊㄔㄤˊ	元長
ㄩㄢˊㄔㄤˋ	原唱
ㄩㄢˊㄔㄥˊ	源城
ㄩㄢˊㄔㄨˉ	原初
ㄩㄢˊㄔㄨˋ	原處
ㄩㄢˊㄕㄠˋ	袁紹
ㄩㄢˊㄕㄡˇ	元首 援手
ㄩㄢˊㄕㄢˉ	員山 元山
ㄩㄢˊㄕㄣˊ	元神
ㄩㄢˊㄕㄥˉ	原生 原聲
ㄩㄢˊㄖㄡˋ	元肉
ㄩㄢˊㄖㄣˊ	原人 猿人
ㄩㄢˊㄗㄜˊ	原則
ㄩㄢˊㄗㄤˋ	援藏
ㄩㄢˊㄗㄨˇ	元組
ㄩㄢˊㄙㄜˋ	原色
ㄩㄢˊㄙㄨˋ	元素
ㄩㄢˊㄧㄝˇ	原野
ㄩㄢˊㄧㄝˋ	元夜
ㄩㄢˊㄧㄡˇ	原有
ㄩㄢˊㄧㄡˊ	原油 緣由 原由
ㄩㄢˊㄧㄡˋ	園囿
ㄩㄢˊㄧㄣˇ	援引
ㄩㄢˊㄧㄣˉ	原因 元音
ㄩㄢˊㄧㄤˊ	元陽 原陽 羱羊
ㄩㄢˊㄧㄤˋ	原樣
ㄩㄢˊㄧㄥˉ	圓瑛
ㄩㄢˊㄨㄞˋ	員外
ㄩㄢˊㄨㄟˇ	原委
ㄩㄢˊㄨㄟˋ	原味 原位
ㄩㄢˊㄨㄣˊ	原文
ㄩㄢˊㄩㄝˋ	元月 圓月
ㄩㄢˊㄩㄣˋ	圓暈
ㄩㄢˊㄩㄥˋ	援用
ㄩㄢˋㄅㄚˋ	院壩
ㄩㄢˋㄅㄣˇ	院本
ㄩㄢˋㄇㄨˋ	院牧
ㄩㄢˋㄈㄣˋ	怨憤 怨忿
ㄩㄢˋㄉㄧˊ	怨敵
ㄩㄢˋㄉㄨˊ	怨毒
ㄩㄢˋㄊㄢˋ	怨嘆
ㄩㄢˋㄋㄩˇ	怨女
ㄩㄢˋㄌㄧˇ	苑裡
ㄩㄢˋㄍㄢˇ	院感
ㄩㄢˋㄏㄣˋ	怨恨
ㄩㄢˋㄑㄧˋ	怨氣
ㄩㄢˋㄓㄤˇ	院長
ㄩㄢˋㄕㄥˉ	怨聲
ㄩㄢˋㄧㄡˊ	怨尤
ㄩㄢˋㄧㄢˊ	怨言
ㄩㄢˋㄨㄤˋ	願望
ㄩㄢㄅㄞㄘㄞ	圓白菜
ㄩㄢㄅㄟㄍㄠ	原被告
ㄩㄢㄅㄠㄑㄩ	元寶區
ㄩㄢㄅㄠㄕㄢ	元寶山
ㄩㄢㄅㄨㄉㄜ	怨不得
ㄩㄢㄆㄧㄥㄕ	原平市
ㄩㄢㄈㄨㄈㄟ	圓腹鯡
ㄩㄢㄉㄚㄊㄡ	冤大頭
ㄩㄢㄉㄞㄇㄚ	源代碼
ㄩㄢㄉㄧㄢㄔ	原電池
ㄩㄢㄊㄞㄗㄨ	元太祖
ㄩㄢㄌㄞㄔㄠ	源賴朝
ㄩㄢㄌㄠㄩㄢ	元老院
ㄩㄢㄌㄧㄓㄣ	苑裡鎮
ㄩㄢㄍㄨㄉㄞ	元古代
ㄩㄢㄍㄨㄍㄨ	圓鼓鼓
ㄩㄢㄍㄨㄓㄡ	元古宙
ㄩㄢㄏㄠㄨㄣ	元好問
ㄩㄢㄏㄢㄕㄨ	原函數 圓函數
ㄩㄢㄐㄧㄤㄕ	沅江市
ㄩㄢㄐㄩㄌㄧ	遠距離
ㄩㄢㄓㄡㄌㄩ	圓周率
ㄩㄢㄓㄡㄑㄩ	原州區 袁州區
ㄩㄢㄓㄨㄅㄧ	圓珠筆
ㄩㄢㄓㄨㄊㄧ	圓柱體
ㄩㄢㄔㄢㄉㄧ	原產地
ㄩㄢㄔㄥㄑㄩ	源城區
ㄩㄢㄔㄥㄒㄩ	源程序
ㄩㄢㄕㄌㄧㄣ	原始林
ㄩㄢㄕㄒㄧㄢ	元氏縣
ㄩㄢㄕㄥㄉㄞ	原聲帶
ㄩㄢㄕㄨㄐㄩ	元數據
ㄩㄢㄖㄉㄧㄢ	遠日點
ㄩㄢㄗㄉㄨㄟ	原子堆
ㄩㄢㄗㄌㄧㄠ	元資料
ㄩㄢㄗㄌㄧㄤ	原子量
ㄩㄢㄗㄌㄨㄣ	原子論
ㄩㄢㄗㄓㄨㄥ	原子鐘
ㄩㄢㄗㄜㄕㄤ	原則上
ㄩㄢㄗㄨㄑㄧ	原子武器
ㄩㄢㄢㄒㄧㄢ	遠安縣
ㄩㄢㄧㄢㄧㄠ	原研藥
ㄩㄢㄨㄉㄧㄥ	圓屋頂
ㄩㄢㄨㄌㄧㄠ	原物料
ㄩㄢㄨㄤㄌㄨ	冤枉路
ㄩㄢㄩㄌㄧㄥ	袁于令
ㄩㄣˇㄉㄤˋ	允當
ㄩㄣˇㄎㄥˉ	隕坑
ㄩㄣˇㄒㄩˇ	允許
ㄩㄣˇㄕㄡˇ	隕首
ㄩㄣˉㄉㄠˇ	暈倒
ㄩㄣˉㄊㄡˊ	暈頭
ㄩㄣˉㄊㄢˋ	暈碳
ㄩㄣˉㄏㄨ˙	暈乎 暈糊
ㄩㄣˉㄘㄞˋ	暈菜
ㄩㄣˊㄅㄠˋ	雲豹
